Feature,Importance
UNIVERSITY_UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.,0.0009714930117975857
UNIVERSITY_UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI,0.0009567170098334971
UNIVERSITY_UNIVERSIDAD DEL VALLE-CALI,0.0009100974217359066
UNIVERSITY_UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA-SANTA MARTA,0.0009083400951105928
REVENUE_Between 5 and less than 7 LMMW,0.0009040637032526453
UNIVERSITY_UNIVERSIDAD DE SAN BUENAVENTURA-MEDELLIN,0.0008630723486277092
"UNIVERSITY_FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.",0.000855668873794804
EDU_MOTHER_Incomplete primary ,0.0008466553529412042
UNIVERSITY_CORPORACION UNIVERSITARIA COMFACAUCA - UNICOMFACAUCA-POPAYAN,0.0008448024431402297
UNIVERSITY_UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,0.0007717753796395525
UNIVERSITY_CORPORACION UNIVERSITARIA REPUBLICANA-BOGOTÁ D.C.,0.0007712726196550245
UNIVERSITY_UNIVERSIDAD TECNOLOGICA DE BOLIVAR-CARTAGENA,0.0007652191925906772
STRATUM_Stratum 5,0.0007629899826394859
UNIVERSITY_UNIVERSIDAD DE NARIÑO-PASTO,0.0007550947489449571
EDU_FATHER_Incomplete primary ,0.0007487624857022403
FRESH_No,0.000733372389346927
DVD_Yes,0.0007295428839317761
"JOB_Yes, 20 hours or more per week",0.0007245267508369205
GENDER_M,0.0007146883353066012
UNIVERSITY_FUNDACION UNIVERSIDAD AUTONOMA DE COLOMBIA -FUAC--BOGOTÁ D.C.,0.000711578679887533
EDU_FATHER_Postgraduate education,0.0007051587491356228
UNIVERSITY_UNIVERSIDAD SERGIO ARBOLEDA-BOGOTÁ D.C.,0.0006976120654875093
UNIVERSITY_UNIVERSIDAD DE SUCRE-SINCELEJO,0.0006875380009043608
UNIVERSITY_CORPORACION UNIVERSITARIA LASALLISTA-CALDAS,0.0006696293894978951
ACADEMIC_PROGRAM_CONTROL ENGINEERING,0.0006667844100732169
UNIVERSITY_UNIVERSIDAD MARIANA-PASTO,0.0006542575305853368
UNIVERSITY_UNIVERSIDAD EAN-BOGOTÁ D.C.,0.0006490366554410576
PEOPLE_HOUSE_0,0.0006388404122123547
OCC_MOTHER_Auxiliary or Administrative,0.0006216889102609747
"UNIVERSITY_POLITECNICO COLOMBIANO""JAIME ISAZA CADAVID""-MEDELLIN",0.0006031936323197398
UNIVERSITY_CORPORACION UNIVERSITARIA DEL HUILA-CORHUILA-NEIVA,0.0005990726961869197
EDU_MOTHER_Ninguno,0.0005978964242881044
OCC_FATHER_Technical or professional level employee,0.0005954090215235148
UNIVERSITY_FUNDACION UNIVERSIDAD DE AMERICA-BOGOTÁ D.C.,0.0005766788735951782
UNIVERSITY_UNIVERSIDAD SURCOLOMBIANA-NEIVA,0.0005734979169408857
MOBILE_Yes,0.0005638098761554007
UNIVERSITY_UNIVERSIDAD SANTO TOMAS-BUCARAMANGA,0.0005552256640067513
UNIVERSITY_FUNDACION UNIVERSITARIA KONRAD LORENZ-BOGOTÁ D.C.,0.0005513050934309598
UNIVERSITY_UNIVERSIDAD DEL CAUCA-POPAYAN,0.0005394284580017029
UNIVERSITY_UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA,0.0005389132435761036
ACADEMIC_PROGRAM_MECHANICAL ENGINEERING,0.0005301521811151884
UNIVERSITY_FUNDACION UNIVERSITARIA COLOMBO INTERNACIONAL - UNICOLOMBO-CARTAGENA,0.000522355992176738
UNIVERSITY_UNIVERSIDAD DEL SINÚ 'Elías Bechara Zainúm' - UNISINÚ-MONTERIA,0.0005193720587346705
JOB_No,0.0005184354549317637
UNIVERSITY_POLITECNICO GRANCOLOMBIANO-BOGOTÁ D.C.,0.0005126724540587199
UNIVERSITY_UNIVERSIDAD PONTIFICIA BOLIVARIANA-MEDELLIN,0.0005095514130600327
UNIVERSITY_UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,0.0004999924755560607
UNIVERSITY_UNIVERSIDAD DE IBAGUE-IBAGUE,0.0004643196028443175
UNIVERSITY_UNIVERSIDAD LA GRAN COLOMBIA-BOGOTÁ D.C.,0.00045669921441835744
UNIVERSITY_UNIVERSIDAD DE LA GUAJIRA-RIOHACHA,0.000441502721510374
UNIVERSITY_UNIVERSIDAD CATOLICA DE PEREIRA-PEREIRA,0.00043591031162389
OCC_MOTHER_Other occupation,0.00043450647987678173
UNIVERSITY_UNIVERSIDAD FRANCISCO DE PAULA SANTANDER-CUCUTA,0.0004319218862796191
