Feature,Importance
UNIVERSITY_FUNDACION UNIVERSIDAD AUTONOMA DE COLOMBIA -FUAC--BOGOTÁ D.C.,9.406060624063613e-06
PEOPLE_HOUSE_One,8.710773034473254e-06
MOBILE_Yes,8.65482262185251e-06
EDU_MOTHER_Incomplete primary ,8.653057049255673e-06
UNIVERSITY_UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA-TUNJA,8.030862978341718e-06
PHONE_No,7.861176600432875e-06
EDU_FATHER_Incomplete primary ,7.672603138770809e-06
EDU_FATHER_Postgraduate education,7.65866909431458e-06
UNIVERSITY_UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES,7.324348850161142e-06
FRESH_No,7.163976120662257e-06
UNIVERSITY_UNIVERSIDAD EL BOSQUE-BOGOTÁ D.C.,7.09441452337667e-06
FRESH_Yes,7.023532821109753e-06
UNIVERSITY_UNIVERSIDAD DE LA GUAJIRA-RIOHACHA,6.877141401286646e-06
UNIVERSITY_PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,6.798488847022767e-06
UNIVERSITY_UNIVERSIDAD CENTRAL-BOGOTÁ D.C.,6.755064552064556e-06
UNIVERSITY_UNIVERSIDAD DEL SINÚ 'Elías Bechara Zainúm' - UNISINÚ-MONTERIA,6.714950224166033e-06
GENDER_M,6.677451573557418e-06
DVD_Yes,6.631011955322897e-06
UNIVERSITY_UNIVERSIDAD DE BOYACA - UNIBOYACA-TUNJA,6.515331378106078e-06
UNIVERSITY_UNIVERSIDAD SANTIAGO DE CALI-CALI,6.352421361104351e-06
UNIVERSITY_FUNDACION UNIVERSITARIA NAVARRA - UNINAVARRA-NEIVA,6.060541979809523e-06
UNIVERSITY_UNIVERSIDAD DE SUCRE-SINCELEJO,5.968851784996133e-06
UNIVERSITY_CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-BOGOTÁ D.C.,5.931239686399219e-06
"UNIVERSITY_UNIVERSIDAD DISTRITAL""FRANCISCO JOSE DE CALDAS""-BOGOTÁ D.C.",5.8357994030655796e-06
OCC_FATHER_Technical or professional level employee,5.784515552366039e-06
UNIVERSITY_UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,5.6235274638566305e-06
UNIVERSITY_UNIVERSIDAD TECNOLOGICA DE BOLIVAR-CARTAGENA,5.337123725417602e-06
UNIVERSITY_UNIVERSIDAD DE CUNDINAMARCA-UDEC-FUSAGASUGA,5.1311704632916455e-06
SCHOOL_NAME_COL DE LA PRESENTACION LUNA PARK,4.708017144390226e-06
JOB_No,4.660178975381815e-06
Cod_SPro_EK201830097603,4.436126354359418e-06
Cod_SPro_EK201830008091,4.406399467493792e-06
UNIVERSITY_UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI,4.279018386546433e-06
UNIVERSITY_UNIVERSIDAD MARIANA-PASTO,4.180349211278528e-06
UNIVERSITY_UNIVERSIDAD AUTONOMA LATINOAMERICANA-UNAULA-MEDELLIN,3.966014161830066e-06
OCC_MOTHER_Other occupation,3.910244972980638e-06
