Modelo,Accuracy,BalancedAcc,BestEstimator,BestParams
KNN,0.778896496173983,0.7918817176155929,"Pipeline(steps=[('preproc',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median')),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['Unnamed: 9', 'MAT_S11',
                                                   'CR_S11', 'CC_S11',
                                                   'BIO_S11', 'ENG_S11',
                                                   'QR_PRO', 'CR_PRO', 'CC_PRO',
                                                   'ENG_PRO', 'WC_PRO',
                                                   'FEP_PRO', 'G_SC',
                                                   'PERCENTILE', '2ND_DECILE',
                                                   'SEL', 'SEL_IHE']),
                                                 ('cat',
                                                  Pipeline(steps=[('...
                                                  ['COD_S11', 'GENDER',
                                                   'EDU_FATHER', 'EDU_MOTHER',
                                                   'OCC_FATHER', 'OCC_MOTHER',
                                                   'STRATUM', 'SISBEN',
                                                   'PEOPLE_HOUSE', 'INTERNET',
                                                   'TV', 'COMPUTER',
                                                   'WASHING_MCH', 'MIC_OVEN',
                                                   'CAR', 'DVD', 'FRESH',
                                                   'PHONE', 'MOBILE', 'REVENUE',
                                                   'JOB', 'SCHOOL_NAME',
                                                   'SCHOOL_NAT', 'SCHOOL_TYPE',
                                                   'Cod_SPro', 'UNIVERSITY',
                                                   'ACADEMIC_PROGRAM'])])),
                ('smote', SMOTE(random_state=42)),
                ('model', KNeighborsClassifier())])",{'model__n_neighbors': 5}
SVM,0.959726137736609,0.9570550918956949,"Pipeline(steps=[('preproc',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median')),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['Unnamed: 9', 'MAT_S11',
                                                   'CR_S11', 'CC_S11',
                                                   'BIO_S11', 'ENG_S11',
                                                   'QR_PRO', 'CR_PRO', 'CC_PRO',
                                                   'ENG_PRO', 'WC_PRO',
                                                   'FEP_PRO', 'G_SC',
                                                   'PERCENTILE', '2ND_DECILE',
                                                   'SEL', 'SEL_IHE']),
                                                 ('cat',
                                                  Pipeline(steps=[('...
                                                   'EDU_FATHER', 'EDU_MOTHER',
                                                   'OCC_FATHER', 'OCC_MOTHER',
                                                   'STRATUM', 'SISBEN',
                                                   'PEOPLE_HOUSE', 'INTERNET',
                                                   'TV', 'COMPUTER',
                                                   'WASHING_MCH', 'MIC_OVEN',
                                                   'CAR', 'DVD', 'FRESH',
                                                   'PHONE', 'MOBILE', 'REVENUE',
                                                   'JOB', 'SCHOOL_NAME',
                                                   'SCHOOL_NAT', 'SCHOOL_TYPE',
                                                   'Cod_SPro', 'UNIVERSITY',
                                                   'ACADEMIC_PROGRAM'])])),
                ('smote', SMOTE(random_state=42)),
                ('model', SVC(C=1, probability=True))])","{'model__kernel': 'rbf', 'model__C': 1}"
Logistic,0.9649617398308498,0.9566188179989077,"Pipeline(steps=[('preproc',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median')),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['Unnamed: 9', 'MAT_S11',
                                                   'CR_S11', 'CC_S11',
                                                   'BIO_S11', 'ENG_S11',
                                                   'QR_PRO', 'CR_PRO', 'CC_PRO',
                                                   'ENG_PRO', 'WC_PRO',
                                                   'FEP_PRO', 'G_SC',
                                                   'PERCENTILE', '2ND_DECILE',
                                                   'SEL', 'SEL_IHE']),
                                                 ('cat',
                                                  Pipeline(steps=[('...
                                                   'EDU_FATHER', 'EDU_MOTHER',
                                                   'OCC_FATHER', 'OCC_MOTHER',
                                                   'STRATUM', 'SISBEN',
                                                   'PEOPLE_HOUSE', 'INTERNET',
                                                   'TV', 'COMPUTER',
                                                   'WASHING_MCH', 'MIC_OVEN',
                                                   'CAR', 'DVD', 'FRESH',
                                                   'PHONE', 'MOBILE', 'REVENUE',
                                                   'JOB', 'SCHOOL_NAME',
                                                   'SCHOOL_NAT', 'SCHOOL_TYPE',
                                                   'Cod_SPro', 'UNIVERSITY',
                                                   'ACADEMIC_PROGRAM'])])),
                ('smote', SMOTE(random_state=42)),
                ('model', LogisticRegression(C=1, max_iter=1000))])",{'model__C': 1}
RandomForest,0.9552960128876359,0.9281507362993002,"Pipeline(steps=[('preproc',
                 ColumnTransformer(transformers=[('num',
                                                  Pipeline(steps=[('imputer',
                                                                   SimpleImputer(strategy='median')),
                                                                  ('scaler',
                                                                   StandardScaler())]),
                                                  ['Unnamed: 9', 'MAT_S11',
                                                   'CR_S11', 'CC_S11',
                                                   'BIO_S11', 'ENG_S11',
                                                   'QR_PRO', 'CR_PRO', 'CC_PRO',
                                                   'ENG_PRO', 'WC_PRO',
                                                   'FEP_PRO', 'G_SC',
                                                   'PERCENTILE', '2ND_DECILE',
                                                   'SEL', 'SEL_IHE']),
                                                 ('cat',
                                                  Pipeline(steps=[('...
                                                   'EDU_FATHER', 'EDU_MOTHER',
                                                   'OCC_FATHER', 'OCC_MOTHER',
                                                   'STRATUM', 'SISBEN',
                                                   'PEOPLE_HOUSE', 'INTERNET',
                                                   'TV', 'COMPUTER',
                                                   'WASHING_MCH', 'MIC_OVEN',
                                                   'CAR', 'DVD', 'FRESH',
                                                   'PHONE', 'MOBILE', 'REVENUE',
                                                   'JOB', 'SCHOOL_NAME',
                                                   'SCHOOL_NAT', 'SCHOOL_TYPE',
                                                   'Cod_SPro', 'UNIVERSITY',
                                                   'ACADEMIC_PROGRAM'])])),
                ('smote', SMOTE(random_state=42)),
                ('model', RandomForestClassifier(random_state=42))])","{'model__n_estimators': 100, 'model__max_depth': None}"
